"uuid"	"patent_id"	"section_id"	"subsection_id"	"group_id"	"subgroup_id"	"category"	"sequence"
"4ed094f0-551d-4944-8f7b-f1831d32bd16"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S128/92"	"additional"	12
"62e2669a-93de-493f-8bca-f1edac1ed9db"	"10849564"	"A"	"A61"	"A61H"	"A61H31/005"	"inventional"	5
"919cf7c5-2e2b-459f-acc5-c79a0b235cca"	"10849564"	"G"	"G16"	"G16H"	"G16H50/20"	"inventional"	9
"9300c6b7-02ff-455a-a4ca-88ba07c1c44b"	"10849564"	"A"	"A61"	"A61H"	"A61H2230/04"	"additional"	11
"9e23a303-bf74-48b6-9e33-653f726125b7"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S706/924"	"additional"	15
"a9033df7-8df2-4007-918d-dea956d3297c"	"10849564"	"G"	"G09"	"G09B"	"G09B23/288"	"inventional"	7
"bdcc294f-1f65-478e-824e-42055eeaa1bf"	"10849564"	"A"	"A61"	"A61B"	"A61B5/726"	"inventional"	4
"c5f2b3ce-5d90-4816-8bbc-dcddbeac1d3c"	"10849564"	"G"	"G16"	"G16H"	"G16H40/60"	"inventional"	8
"c7d4bc5a-a6e5-42c3-baa2-10355f4f19ed"	"10849564"	"A"	"A61"	"A61B"	"A61B5/7207"	"inventional"	2
"ce66f9f5-6f4d-4664-96e6-cdf29f113512"	"10849564"	"A"	"A61"	"A61H"	"A61H2201/5015"	"additional"	10
"dc5a5037-2915-4e60-99d8-d95751caf994"	"10849564"	"A"	"A61"	"A61B"	"A61B5/363"	"inventional"	1
"e4d09690-f17e-4a85-a433-c7864cdd39f7"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S128/923"	"additional"	13
"ff11a7fd-d18f-41bc-84fc-a671f429a470"	"10849564"	"Y"	"Y10"	"Y10S"	"Y10S128/924"	"additional"	14
"0b9ace4e-00af-4758-b65c-744ca3e6f385"	"10897495"	"H"	"H04"	"H04L"	"H04L67/1014"	"inventional"	0
"0db6d033-473f-4b08-8009-99aa23e90f0e"	"10897495"	"G"	"G06"	"G06N"	"G06N3/08"	"inventional"	3
"4727b890-3459-45fa-890d-f02b5e738952"	"10897495"	"Y"	"Y10"	"Y10S"	"Y10S706/917"	"additional"	10
"61dc5415-166f-4644-bad2-f127638010d7"	"10897495"	"G"	"G06"	"G06N"	"G06N5/046"	"inventional"	4
"6b65df6b-dbd6-4468-b29a-140cd6214672"	"10897495"	"H"	"H04"	"H04L"	"H04L67/306"	"inventional"	8
"884f51a7-7c8c-4e00-85ad-4fea16b892f0"	"10897495"	"Y"	"Y10"	"Y10S"	"Y10S706/909"	"additional"	9
"88e02ca5-25fa-479d-914d-13a83adb106d"	"10897495"	"G"	"G06"	"G06N"	"G06N20/00"	"inventional"	5
"b099c13f-4aef-4367-affe-db20eb9e00a1"	"10897495"	"G"	"G06"	"G06F"	"G06F40/211"	"inventional"	2
"c81f28bd-9e0b-402d-a74e-f84f28691aa4"	"10897495"	"G"	"G06"	"G06Q"	"G06Q30/02"	"inventional"	6
"cb63b927-f577-4a0c-b29f-12876da2ecfd"	"10897495"	"G"	"G06"	"G06F"	"G06F16/958"	"inventional"	1
"e4424a85-43dc-4b6f-836c-13498dedd813"	"10897495"	"Y"	"Y10"	"Y10S"	"Y10S706/925"	"additional"	11
"e5b3e94a-5ef2-42f1-b650-b74f70956130"	"10897495"	"H"	"H04"	"H04L"	"H04L67/1002"	"inventional"	7
"08b9e3ee-1313-4073-bc23-ba198ca2c9fe"	"4193115"	"G"	"G05"	"G05B"	"G05B19/4163"	"inventional"	0
"6107b2bc-6b2d-495d-b2cb-9718d3c13c91"	"4193115"	"G"	"G05"	"G05B"	"G05B2219/33027"	"additional"	1
"dfa711bc-fd13-40ee-8b01-f74903e844c2"	"4193115"	"Y"	"Y10"	"Y10S"	"Y10S706/904"	"additional"	2
"068bcdfc-be8c-4c27-8436-416e51a38770"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/36008"	"additional"	4
"226a5fe3-bf6f-415c-bf76-cd13d47c18b0"	"4204253"	"Y"	"Y10"	"Y10S"	"Y10S706/908"	"additional"	8
"4bff64f8-2f18-4a98-888e-de9063958c4a"	"4204253"	"G"	"G06"	"G06F"	"G06F3/0227"	"inventional"	0
"5d7fa1b0-1c6f-40e9-bbd6-6278f9c63d35"	"4204253"	"G"	"G05"	"G05B"	"G05B19/409"	"inventional"	1
"658193d5-0b91-4cd9-8c59-d5d13ec15d7f"	"4204253"	"Y"	"Y02"	"Y02P"	"Y02P90/02"	"additional"	7
"7edc7931-ff1e-4e25-a088-da4a319f2ad4"	"4204253"	"G"	"G05"	"G05B"	"G05B19/4093"	"inventional"	2
"beec44a7-0e43-414f-9b2c-5763ada88f40"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/36159"	"additional"	6
"d1cf4843-eb04-4b62-bba2-89e76a033c8d"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/36043"	"additional"	5
"e62a636b-a094-4f85-8513-6083c6c4dff1"	"4204253"	"G"	"G05"	"G05B"	"G05B2219/34215"	"additional"	3
