,dataset,#teams,#skills,#experts
324,6,17,[s4-s5-s9-s13-s15-s16],[m43-m44-m45-m46-m47-m48-m49-m50-m51-m52-m53-m54-m55-m56-m57-m58-m59]
1,0,4,[],[m26-m27-m28-m29]
649,2,4,[s4-s12],[m26-m27-m28-m29]
0,2,5,[s1-s2],[m1-m2-m7-m60-m61]
0,5,3,[s1-s4-s5-s9-s17],[m2-m7-m24]
0,4,3,[s1-s2-s3-s4],[m12-m13-m14]
24,0,3,[],[m62-m63-m64]
0,4,3,[s1-s2-s4-s5],[m2-m7-m18]
0,3,4,[s2-s4-s18],[m2-m12-m65-m66]
0,3,6,[s4-s5-s11],[m2-m26-m27-m28-m29-m41]
1047,1,3,[s1],[m5-m6-m67]
3,1,3,[s3],[m13-m68-m69]
2410,2,6,[s2-s18],[m2-m7-m17-m60-m70-m71]
0,7,3,[s1-s4-s5-s6-s7-s9-s13],[m7-m28-m60]
0,3,4,[s2-s3-s4],[m2-m72-m73-m74]
0,3,5,[s2-s4-s5],[m2-m7-m30-m60-m75]
621,5,7,[s2-s4-s5-s7-s11],[m76-m77-m78-m79-m80-m81-m82]
1,0,4,[],[m26-m27-m28-m29]
2,1,4,[s2],[m26-m27-m28-m29]
0,2,5,[s1-s2],[m3-m4-m6-m67-m83]
321,3,3,[s2-s3-s4],[m2-m8-m9]
0,3,4,[s2-s4-s5],[m2-m7-m72-m84]
2,1,4,[s2],[m26-m27-m28-m29]
0,1,4,[s1],[m4-m6-m83-m85]
0,1,4,[s5],[m2-m24-m86-m87]
1,0,4,[],[m26-m27-m28-m29]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
0,1,3,[s2],[m26-m27-m28]
0,3,6,[s2-s4-s18],[m76-m77-m80-m81-m116-m117]
3,1,3,[s3],[m13-m68-m69]
0,3,3,[s4-s5-s11],[m2-m7-m118]
0,2,5,[s4-s5],[m2-m7-m8-m9-m119]
4,0,3,[],[m26-m27-m28]
3,1,3,[s3],[m13-m68-m69]
13,3,3,[s1-s2-s4],[m2-m7-m60]
0,1,3,[s3],[m11-m13-m14]
1,0,4,[],[m26-m27-m28-m29]
228,1,3,[s11],[m2-m7-m60]
0,1,3,[s2],[m120-m121-m122]
2325,1,3,[s5],[m15-m19-m123]
421,7,25,[s1-s2-s4-s5-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m108-m109-m110-m111-m112-m114-m115]
5,3,3,[s2-s4-s5],[m2-m7-m30]
955,3,3,[s2-s4-s18],[m124-m125-m126]
0,3,5,[s2-s4-s5],[m2-m7-m30-m125-m127]
6,1,4,[s4],[m26-m27-m28-m29]
6,1,4,[s4],[m26-m27-m28-m29]
210,9,4,[s1-s2-s3-s4-s7-s10-s11-s12-s18],[m128-m129-m130-m131]
10,1,3,[s2],[m128-m129-m132]
0,2,4,[s2-s5],[m10-m19-m22-m133]
0,1,3,[s2],[m134-m135-m136]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
0,2,7,[s2-s18],[m2-m7-m122-m127-m137-m138-m139]
0,3,5,[s4-s5-s11],[m128-m129-m130-m137-m140]
9,7,28,[s1-s2-s4-s5-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
0,2,4,[s4-s5],[m2-m20-m86-m131]
0,2,5,[s1-s2],[m2-m7-m60-m61-m141]
0,0,3,[],[m13-m14-m68]
449,5,5,[s4-s5-s11-s15-s16],[m142-m143-m144-m145-m146]
0,1,4,[s5],[m86-m131-m133-m147]
0,1,3,[s5],[m10-m148-m149]
0,1,4,[s1],[m1-m70-m150-m151]
0,3,3,[s4-s5-s15],[m19-m21-m152]
8,0,3,[],[m11-m12-m14]
0,1,4,[s2],[m2-m122-m138-m153]
0,4,3,[s2-s3-s4-s5],[m2-m72-m84]
0,1,3,[s5],[m86-m87-m154]
0,1,3,[s5],[m20-m155-m156]
1,0,4,[],[m26-m27-m28-m29]
0,1,4,[s1],[m2-m26-m28-m32]
0,3,3,[s4-s7-s11],[m2-m157-m158]
14,1,4,[s3],[m13-m68-m69-m159]
0,2,4,[s5-s16],[m160-m161-m162-m163]
8,0,3,[],[m11-m12-m14]
0,1,4,[s1],[m2-m7-m164-m165]
0,1,4,[s5],[m2-m24-m141-m166]
0,3,4,[s2-s4-s11],[m2-m141-m167-m168]
0,3,6,[s4-s5-s11],[m2-m7-m24-m66-m169-m170]
0,3,3,[s4-s5-s18],[m2-m8-m9]
0,4,3,[s4-s5-s15-s16],[m171-m172-m173]
0,2,8,[s5-s16],[m148-m160-m162-m174-m175-m176-m177-m178]
0,4,4,[s2-s3-s4-s15],[m9-m32-m179-m180]
0,1,4,[s1],[m6-m17-m67-m83]
0,2,3,[s1-s4],[m9-m15-m181]
0,1,3,[s2],[m2-m121-m182]
32,0,5,[],[m3-m4-m5-m6-m83]
0,0,7,[],[m41-m183-m184-m185-m186-m187-m188]
3033,1,3,[s11],[m2-m7-m189]
0,1,4,[s2],[m125-m127-m190-m191]
3,1,3,[s3],[m13-m68-m69]
0,1,4,[s1],[m142-m144-m146-m192]
0,1,5,[s16],[m174-m176-m177-m178-m193]
0,2,3,[s1-s2],[m2-m12-m66]
0,5,4,[s4-s6-s11-s15-s16],[m2-m7-m23-m137]
0,2,4,[s1-s4],[m1-m17-m147-m154]
0,1,3,[s3],[m13-m159-m194]
2866,1,3,[s2],[m122-m138-m153]
0,4,5,[s4-s5-s15-s16],[m142-m144-m145-m146-m195]
2948,2,3,[s4-s5],[m119-m196-m197]
0,1,5,[s11],[m2-m198-m199-m200-m201]
0,1,3,[s6],[m2-m118-m202]
0,2,3,[s2-s18],[m2-m203-m204]
1692,4,3,[s2-s4-s5-s18],[m2-m30-m205]
8,0,3,[],[m11-m12-m14]
0,2,3,[s2-s5],[m2-m7-m126]
0,1,5,[s5],[m22-m123-m133-m154-m206]
0,1,3,[s1],[m150-m158-m207]
0,1,3,[s3],[m2-m86-m208]
0,3,3,[s1-s4-s15],[m49-m209-m210]
0,2,4,[s3-s4],[m2-m7-m60-m137]
0,2,6,[s1-s2],[m3-m4-m5-m6-m67-m83]
0,3,3,[s1-s2-s4],[m2-m14-m125]
0,3,4,[s2-s4-s11],[m2-m7-m118-m172]
22,0,3,[],[m138-m158-m211]
0,2,4,[s5-s15],[m24-m65-m66-m122]
9,7,28,[s1-s2-s4-s5-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
0,2,6,[s2-s4],[m2-m7-m126-m128-m129-m132]
3,1,3,[s3],[m13-m68-m69]
12,5,4,[s1-s2-s4-s6-s11],[m29-m164-m212-m213]
0,2,3,[s5-s9],[m41-m154-m214]
0,8,4,[s1-s2-s4-s5-s11-s13-s15-s16],[m2-m7-m60-m140]
0,5,11,[s1-s2-s4-s5-s11],[m88-m89-m90-m92-m95-m97-m101-m103-m105-m108-m109]
0,5,21,[s4-s5-s7-s15-s16],[m215-m216-m217-m218-m219-m220-m221-m222-m223-m224-m225-m226-m227-m228-m229-m230-m231-m232-m233-m234-m235]
0,5,4,[s1-s2-s4-s15-s16],[m77-m80-m81-m116]
0,2,4,[s4-s11],[m26-m27-m28-m29]
0,6,15,[s1-s2-s4-s5-s15-s16],[m215-m216-m217-m218-m219-m220-m221-m222-m223-m224-m226-m229-m231-m232-m233]
0,1,4,[s2],[m133-m168-m236-m237]
31,3,4,[s2-s3-s4],[m11-m12-m13-m14]
3060,3,3,[s4-s6-s11],[m2-m74-m238]
0,1,3,[s4],[m239-m240-m241]
0,1,4,[s11],[m2-m7-m8-m60]
0,1,3,[s5],[m10-m24-m123]
0,1,5,[s2],[m2-m75-m125-m127-m137]
332,1,3,[s2],[m135-m236-m242]
0,1,3,[s5],[m19-m21-m86]
0,2,3,[s5-s16],[m161-m162-m174]
0,0,4,[],[m11-m12-m13-m14]
3,1,3,[s3],[m13-m68-m69]
0,2,3,[s2-s18],[m2-m7-m243]
23,2,4,[s1-s2],[m4-m158-m211-m244]
0,1,3,[s3],[m12-m194-m245]
3,1,3,[s3],[m13-m68-m69]
20,0,4,[],[m246-m247-m248-m249]
10,1,3,[s2],[m128-m129-m132]
16,1,3,[s2],[m2-m39-m137]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
0,1,4,[s1],[m2-m3-m5-m150]
3,1,3,[s3],[m13-m68-m69]
0,3,4,[s3-s4-s18],[m11-m12-m13-m14]
0,2,3,[s1-s4],[m66-m147-m250]
0,3,3,[s2-s4-s18],[m2-m125-m127]
0,2,3,[s2-s18],[m124-m126-m251]
3,1,3,[s3],[m13-m68-m69]
0,2,5,[s1-s4],[m31-m155-m165-m252-m253]
0,3,3,[s4-s15-s16],[m123-m254-m255]
30,1,4,[s2],[m128-m129-m130-m132]
1669,2,8,[s1-s4],[m2-m250-m256-m257-m258-m259-m260-m261]
0,2,7,[s4-s5],[m19-m21-m41-m86-m131-m169-m242]
3,1,3,[s3],[m13-m68-m69]
0,2,4,[s1-s2],[m2-m74-m87-m133]
0,1,4,[s11],[m2-m26-m27-m29]
33,1,3,[s11],[m2-m7-m8]
0,1,4,[s1],[m262-m263-m264-m265]
507,1,3,[s2],[m2-m7-m71]
11,1,3,[s5],[m2-m7-m30]
2046,3,6,[s2-s4-s5],[m2-m7-m8-m9-m30-m60]
12,5,4,[s1-s2-s4-s6-s11],[m29-m164-m212-m213]
0,1,3,[s1],[m2-m266-m267]
2694,3,3,[s2-s3-s4],[m2-m7-m137]
13,3,3,[s1-s2-s4],[m2-m7-m60]
0,3,3,[s1-s11-s15],[m1-m3-m22]
0,3,4,[s2-s3-s4],[m2-m7-m122-m268]
0,1,5,[s5],[m160-m161-m163-m178-m269]
0,4,4,[s1-s2-s11-s12],[m186-m270-m271-m272]
1081,2,6,[s4-s5],[m10-m273-m274-m275-m276-m277]
0,3,4,[s2-s3-s4],[m160-m161-m174-m278]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
957,5,3,[s4-s5-s9-s15-s16],[m254-m279-m280]
0,4,5,[s4-s5-s9-s15],[m252-m281-m282-m283-m284]
0,3,3,[s2-s4-s5],[m71-m125-m127]
14,1,4,[s3],[m13-m68-m69-m159]
0,1,3,[s1],[m2-m122-m138]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
59,1,3,[s5],[m119-m196-m285]
0,1,6,[s5],[m196-m197-m285-m286-m287-m288]
0,3,3,[s2-s4-s5],[m2-m19-m133]
0,1,3,[s2],[m1-m242-m289]
3,1,3,[s3],[m13-m68-m69]
0,3,5,[s2-s4-s5],[m290-m291-m292-m293-m294]
3,1,3,[s3],[m13-m68-m69]
29,3,6,[s2-s4-s5],[m273-m274-m275-m276-m277-m295]
0,4,5,[s2-s4-s5-s9],[m31-m32-m41-m296-m297]
0,3,3,[s1-s4-s5],[m274-m275-m276]
15,1,3,[s2],[m138-m158-m211]
0,2,3,[s4-s5],[m273-m275-m276]
15,1,3,[s2],[m138-m158-m211]
0,2,5,[s4-s5],[m15-m21-m22-m123-m242]
578,3,3,[s1-s2-s4],[m2-m7-m298]
0,1,3,[s1],[m2-m155-m299]
28,1,3,[s2],[m75-m127-m244]
0,3,3,[s4-s5-s15],[m19-m86-m123]
0,3,3,[s2-s3-s4],[m2-m84-m268]
3050,2,4,[s5-s16],[m161-m177-m193-m300]
3,1,3,[s3],[m13-m68-m69]
18,2,5,[s1-s2],[m3-m4-m5-m6-m83]
0,2,4,[s2-s18],[m2-m12-m65-m66]
3,1,3,[s3],[m13-m68-m69]
0,2,4,[s5-s16],[m149-m174-m177-m178]
0,3,3,[s4-s5-s11],[m2-m7-m140]
486,4,8,[s4-s5-s15-s16],[m290-m292-m294-m301-m302-m303-m304-m305]
17,3,3,[s4-s5-s18],[m2-m24-m123]
37,0,4,[],[m160-m161-m193-m306]
89,1,3,[s4],[m246-m247-m248]
0,3,6,[s5-s15-s16],[m2-m148-m163-m174-m307-m308]
0,2,3,[s5-s16],[m161-m193-m300]
0,1,3,[s3],[m2-m137-m208]
1727,6,3,[s2-s4-s5-s15-s16-s18],[m132-m309-m310]
16,1,3,[s2],[m2-m39-m137]
1,0,4,[],[m26-m27-m28-m29]
15,1,3,[s2],[m138-m158-m211]
0,3,6,[s2-s4-s18],[m2-m135-m263-m311-m312-m313]
2437,2,4,[s4-s5],[m25-m86-m147-m170]
0,3,3,[s4-s5-s9],[m2-m282-m283]
3,1,3,[s3],[m13-m68-m69]
0,2,6,[s4-s5],[m2-m7-m8-m9-m60-m71]
2,1,4,[s2],[m26-m27-m28-m29]
1,0,4,[],[m26-m27-m28-m29]
0,4,3,[s1-s2-s4-s5],[m273-m274-m275]
17,3,3,[s4-s5-s18],[m2-m24-m123]
0,1,3,[s3],[m12-m13-m194]
19,1,3,[s2],[m67-m87-m314]
18,2,5,[s1-s2],[m3-m4-m5-m6-m83]
19,1,3,[s2],[m67-m87-m314]
0,2,5,[s2-s5],[m285-m288-m315-m316-m317]
15,1,3,[s2],[m138-m158-m211]
20,0,4,[],[m246-m247-m248-m249]
0,6,6,[s2-s4-s5-s15-s16-s18],[m2-m85-m311-m313-m318-m319]
147,2,3,[s2-s4],[m2-m7-m127]
38,1,3,[s2],[m2-m125-m127]
21,2,3,[s2-s4],[m2-m8-m9]
0,4,4,[s2-s3-s4-s5],[m2-m72-m73-m84]
3,1,3,[s3],[m13-m68-m69]
20,0,4,[],[m246-m247-m248-m249]
0,2,3,[s2-s4],[m2-m124-m126]
21,2,3,[s2-s4],[m2-m8-m9]
0,1,4,[s3],[m13-m68-m69-m245]
0,2,3,[s1-s4],[m74-m168-m250]
1,0,4,[],[m26-m27-m28-m29]
0,1,4,[s3],[m179-m181-m208-m245]
1,0,4,[],[m26-m27-m28-m29]
0,4,28,[s2-s4-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
428,3,3,[s2-s4-s18],[m2-m7-m8]
0,5,3,[s1-s2-s4-s5-s18],[m2-m320-m321]
0,3,4,[s2-s4-s5],[m7-m30-m156-m322]
3,1,3,[s3],[m13-m68-m69]
0,0,3,[],[m4-m18-m323]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
0,4,4,[s2-s3-s4-s5],[m85-m324-m325-m326]
2,1,4,[s2],[m26-m27-m28-m29]
22,0,3,[],[m138-m158-m211]
0,2,3,[s2-s5],[m2-m7-m327]
0,0,3,[],[m11-m208-m251]
0,2,3,[s1-s2],[m1-m150-m165]
23,2,4,[s1-s2],[m4-m158-m211-m244]
0,5,4,[s1-s4-s5-s15-s16],[m160-m174-m269-m278]
36,0,3,[],[m17-m244-m328]
0,2,3,[s4-s5],[m24-m30-m327]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
0,3,3,[s2-s4-s5],[m2-m175-m307]
0,1,4,[s2],[m125-m127-m132-m211]
60,3,20,[s1-s2-s4],[m151-m251-m329-m330-m331-m332-m333-m334-m335-m336-m337-m338-m339-m340-m341-m342-m343-m344-m345-m346]
0,1,3,[s2],[m26-m27-m29]
24,0,3,[],[m62-m63-m64]
0,2,5,[s2-s5],[m290-m291-m292-m301-m302]
0,1,3,[s2],[m132-m211-m347]
3,1,3,[s3],[m13-m68-m69]
24,0,3,[],[m62-m63-m64]
0,4,13,[s2-s11-s12-s16],[m41-m184-m185-m186-m188-m272-m321-m348-m349-m350-m351-m352-m353]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
0,0,11,[],[m184-m185-m188-m271-m272-m321-m348-m349-m350-m351-m353]
24,0,3,[],[m62-m63-m64]
25,1,3,[s4],[m62-m63-m64]
0,0,7,[],[m119-m196-m197-m285-m354-m355-m356]
0,2,9,[s4-s5],[m119-m196-m197-m285-m354-m355-m356-m357-m358]
0,4,4,[s2-s3-s4-s5],[m17-m324-m325-m326]
0,2,3,[s15-s16],[m2-m6-m7]
413,3,6,[s4-s5-s11],[m9-m181-m359-m360-m361-m362]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
0,0,14,[],[m119-m196-m197-m285-m354-m355-m356-m357-m358-m363-m364-m365-m366-m367]
0,1,3,[s1],[m74-m150-m151]
0,2,3,[s1-s4],[m5-m250-m368]
0,4,5,[s1-s2-s4-s18],[m2-m75-m126-m127-m253]
0,3,5,[s1-s2-s4],[m2-m7-m8-m9-m60]
0,4,6,[s2-s4-s5-s18],[m2-m7-m8-m9-m125-m127]
0,4,11,[s2-s11-s12-s16],[m184-m185-m186-m188-m271-m272-m321-m348-m349-m351-m353]
0,2,3,[s2-s18],[m75-m127-m244]
0,1,7,[s5],[m119-m196-m288-m354-m355-m358-m364]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
39,3,3,[s4-s5-s16],[m2-m175-m307]
3,1,3,[s3],[m13-m68-m69]
54,2,3,[s3-s4],[m194-m369-m370]
0,4,12,[s2-s11-s12-s16],[m41-m184-m185-m188-m271-m272-m321-m348-m349-m350-m351-m353]
0,1,15,[s5],[m119-m196-m288-m315-m316-m317-m354-m355-m356-m357-m358-m364-m365-m371-m372]
0,1,4,[s2],[m62-m63-m64-m373]
0,0,6,[],[m119-m196-m197-m354-m356-m358]
7,6,28,[s1-s2-s4-s9-s11-s18],[m88-m89-m90-m91-m92-m93-m94-m95-m96-m97-m98-m99-m100-m101-m102-m103-m104-m105-m106-m107-m108-m109-m110-m111-m112-m113-m114-m115]
1856,1,4,[s2],[m2-m8-m9-m127]
0,0,3,[],[m3-m150-m374]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
0,1,13,[s5],[m119-m196-m197-m288-m315-m317-m354-m355-m356-m357-m358-m371-m375]
0,1,5,[s5],[m119-m285-m354-m356-m358]
431,3,5,[s4-s5-s9],[m2-m7-m376-m377-m378]
3,1,3,[s3],[m13-m68-m69]
1240,2,3,[s1-s2],[m2-m8-m9]
26,1,3,[s2],[m2-m126-m137]
3,1,3,[s3],[m13-m68-m69]
403,4,16,[s4-s5-s15-s16],[m379-m380-m381-m382-m383-m384-m385-m386-m387-m388-m389-m390-m391-m392-m393-m394]
25,1,3,[s4],[m62-m63-m64]
48,1,3,[s5],[m395-m396-m397]
0,2,4,[s2-s18],[m7-m60-m127-m147]
0,1,5,[s5],[m2-m7-m15-m24-m30]
26,1,3,[s2],[m2-m126-m137]
3,1,3,[s3],[m13-m68-m69]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
0,1,3,[s5],[m62-m63-m64]
0,0,4,[],[m155-m252-m282-m283]
0,4,3,[s2-s4-s17-s18],[m2-m7-m398]
66,0,3,[],[m246-m247-m248]
0,1,5,[s4],[m246-m247-m248-m399-m400]
0,2,9,[s2-s5],[m119-m196-m197-m354-m356-m357-m358-m365-m371]
27,4,15,[s1-s2-s4-s5],[m166-m401-m402-m403-m404-m405-m406-m407-m408-m409-m410-m411-m412-m413-m414]
27,4,15,[s1-s2-s4-s5],[m166-m401-m402-m403-m404-m405-m406-m407-m408-m409-m410-m411-m412-m413-m414]
56,1,4,[s5],[m196-m197-m285-m364]
0,2,6,[s2-s5],[m196-m197-m285-m288-m355-m358]
24,0,3,[],[m62-m63-m64]
0,2,19,[s2-s5],[m119-m196-m197-m285-m287-m288-m315-m316-m317-m354-m357-m358-m363-m364-m365-m366-m367-m371-m415]
24,0,3,[],[m62-m63-m64]
1382,1,5,[s1],[m3-m4-m5-m6-m67]
3,1,3,[s3],[m13-m68-m69]
699,3,3,[s2-s3-s4],[m2-m7-m140]
0,4,3,[s2-s4-s5-s18],[m2-m24-m327]
27,4,15,[s1-s2-s4-s5],[m166-m401-m402-m403-m404-m405-m406-m407-m408-m409-m410-m411-m412-m413-m414]
3,1,3,[s3],[m13-m68-m69]
25,1,3,[s4],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
3,1,3,[s3],[m13-m68-m69]
0,1,3,[s2],[m135-m244-m416]
0,2,3,[s15-s16],[m380-m386-m390]
0,2,3,[s2-s12],[m417-m418-m419]
401,1,3,[s16],[m177-m193-m300]
28,1,3,[s2],[m75-m127-m244]
0,0,3,[],[m12-m14-m194]
0,4,11,[s2-s11-s12-s16],[m184-m185-m188-m271-m272-m321-m348-m349-m350-m351-m353]
0,2,3,[s4-s15],[m62-m63-m64]
0,1,5,[s2],[m2-m125-m127-m347-m420]
0,2,5,[s4-s6],[m2-m8-m42-m137-m168]
0,2,11,[s4-s9],[m214-m290-m291-m292-m293-m294-m301-m303-m305-m421-m422]
0,1,7,[s5],[m160-m163-m174-m176-m178-m423-m424]
6,1,4,[s4],[m26-m27-m28-m29]
0,1,3,[s10],[m147-m425-m426]
0,0,5,[],[m119-m354-m356-m358-m365]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
107,3,14,[s2-s3-s5],[m119-m197-m287-m288-m354-m355-m358-m363-m364-m365-m366-m371-m415-m427]
3226,1,4,[s5],[m21-m71-m123-m152]
846,4,3,[s2-s3-s4-s5],[m324-m325-m326]
0,1,3,[s4],[m1-m282-m283]
0,4,4,[s4-s5-s15-s16],[m2-m7-m19-m378]
26,1,3,[s2],[m2-m126-m137]
24,0,3,[],[m62-m63-m64]
24,0,3,[],[m62-m63-m64]
0,2,6,[s4-s5],[m196-m197-m288-m355-m364-m427]
0,2,3,[s2-s5],[m358-m366-m371]
0,2,6,[s1-s2],[m401-m402-m403-m410-m412-m414]
0,1,3,[s2],[m62-m63-m64]
3,1,3,[s3],[m13-m68-m69]
0,2,14,[s4-s5],[m119-m196-m285-m287-m288-m315-m317-m354-m356-m357-m358-m364-m365-m371]
0,3,3,[s2-s12-s18],[m2-m168-m428]
44,2,3,[s2-s18],[m2-m8-m9]
0,3,3,[s2-s4-s18],[m2-m7-m388]
25,1,3,[s4],[m62-m63-m64]
0,3,3,[s2-s4-s18],[m2-m236-m320]
0,1,6,[s5],[m119-m356-m357-m358-m365-m371]
0,0,3,[],[m18-m20-m429]
27,4,15,[s1-s2-s4-s5],[m166-m401-m402-m403-m404-m405-m406-m407-m408-m409-m410-m411-m412-m413-m414]
3,1,3,[s3],[m13-m68-m69]
1189,7,4,[s2-s4-s5-s11-s15-s16-s18],[m2-m7-m127-m137]
0,2,5,[s2-s18],[m2-m104-m105-m107-m110]
0,1,3,[s5],[m138-m430-m431]
0,2,4,[s4-s9],[m9-m360-m361-m432]
270,2,3,[s2-s4],[m2-m7-m209]
0,4,17,[s4-s5-s15-s16],[m215-m216-m217-m218-m219-m220-m221-m222-m223-m224-m225-m226-m229-m231-m232-m233-m235]
1,0,4,[],[m26-m27-m28-m29]
20,0,4,[],[m246-m247-m248-m249]
0,2,5,[s4-s5],[m9-m181-m360-m361-m362]
0,1,3,[s5],[m119-m197-m354]
0,4,9,[s2-s4-s5-s18],[m8-m9-m127-m180-m181-m359-m360-m361-m362]
104,3,4,[s2-s4-s18],[m2-m8-m9-m125]
0,1,3,[s7],[m2-m157-m168]
0,2,4,[s1-s2],[m329-m330-m333-m338]
0,0,4,[],[m160-m269-m278-m433]
3,1,3,[s3],[m13-m68-m69]
0,1,3,[s2],[m434-m435-m436]
0,1,3,[s11],[m2-m7-m203]
52,0,4,[],[m246-m247-m248-m437]
24,0,3,[],[m62-m63-m64]
0,2,4,[s2-s5],[m354-m356-m358-m367]
0,2,4,[s4-s5],[m2-m18-m22-m123]
663,3,3,[s2-s4-s18],[m72-m125-m127]
0,2,4,[s4-s9],[m15-m281-m283-m297]
0,4,3,[s4-s5-s15-s16],[m160-m176-m269]
0,4,12,[s2-s11-s12-s16],[m41-m185-m186-m188-m271-m272-m321-m348-m349-m350-m352-m353]
0,1,3,[s2],[m2-m66-m182]
24,0,3,[],[m62-m63-m64]
0,3,10,[s2-s12-s16],[m41-m185-m188-m271-m272-m321-m348-m349-m351-m353]
24,0,3,[],[m62-m63-m64]
0,4,10,[s2-s11-s12-s16],[m184-m185-m188-m271-m272-m321-m348-m349-m351-m353]
169,1,7,[s5],[m119-m285-m287-m288-m358-m363-m364]
24,0,3,[],[m62-m63-m64]
0,4,5,[s2-s4-s10-s18],[m2-m7-m8-m125-m438]
0,1,4,[s6],[m2-m12-m137-m140]
0,0,9,[],[m119-m196-m197-m285-m287-m354-m356-m357-m366]
0,2,14,[s2-s5],[m196-m197-m288-m315-m316-m317-m354-m355-m358-m364-m371-m427-m439-m440]
0,1,3,[s4],[m196-m197-m285]
0,1,7,[s2],[m124-m127-m190-m211-m347-m441-m442]
0,2,3,[s1-s4],[m5-m6-m67]
0,1,3,[s1],[m2-m418-m443]
