,dataset,#teams,#skills,#experts
0,2,3,[s1-s9],[m9-m37-m109]
0,1,3,[s1],[m9-m37-m60]
0,1,3,[s1],[m9-m10-m59]
6,1,3,[s1],[m9-m38-m59]
0,1,3,[s1],[m9-m11-m37]
0,1,3,[s3],[m9-m38-m59]
0,1,4,[s1],[m9-m11-m37-m44]
0,1,6,[s1],[m8-m9-m10-m11-m37-m59]
7,1,3,[s1],[m9-m37-m90]
0,2,3,[s1-s8],[m8-m9-m38]
8,1,3,[s2],[m9-m38-m45]
0,1,4,[s1],[m17-m19-m95-m100]
0,3,3,[s1-s14-s15],[m77-m110-m111]
0,1,4,[s1],[m6-m12-m23-m112]
0,3,3,[s1-s5-s11],[m13-m82-m113]
0,1,3,[s1],[m27-m79-m81]
0,1,3,[s13],[m114-m115-m116]
0,1,3,[s1],[m40-m41-m117]
0,1,3,[s1],[m16-m98-m103]
0,1,4,[s2],[m9-m38-m45-m50]
0,2,3,[s1-s10],[m7-m16-m103]
0,1,3,[s1],[m17-m41-m117]
0,2,3,[s1-s7],[m13-m51-m82]
13,1,3,[s2],[m9-m45-m118]
0,2,3,[s1-s13],[m6-m18-m66]
0,2,3,[s1-s9],[m13-m51-m82]
0,2,3,[s1-s9],[m10-m118-m119]
10,1,3,[s1],[m12-m57-m103]
0,2,3,[s1-s9],[m103-m120-m121]
9,1,3,[s1],[m32-m51-m84]
0,2,3,[s1-s9],[m114-m115-m116]
0,1,4,[s2],[m11-m45-m90-m122]
0,3,3,[s2-s5-s6],[m8-m9-m45]
0,2,3,[s1-s9],[m9-m11-m37]
0,1,3,[s9],[m19-m46-m53]
0,2,4,[s1-s9],[m9-m10-m37-m90]
0,1,3,[s2],[m14-m60-m123]
0,1,3,[s1],[m55-m124-m125]
0,2,3,[s1-s9],[m35-m102-m126]
0,1,3,[s1],[m51-m82-m84]
0,1,3,[s13],[m27-m79-m81]
0,2,5,[s9-s13],[m8-m9-m11-m37-m59]
0,2,3,[s1-s10],[m79-m81-m127]
0,3,4,[s1-s5-s8],[m6-m18-m19-m117]
0,2,4,[s1-s9],[m72-m103-m120-m121]
16,2,3,[s1-s10],[m7-m15-m128]
0,2,3,[s3-s5],[m56-m129-m130]
11,1,3,[s2],[m54-m131-m132]
0,1,4,[s1],[m9-m38-m44-m90]
0,2,3,[s1-s10],[m35-m102-m133]
0,2,3,[s1-s9],[m22-m102-m106]
0,3,5,[s1-s2-s7],[m6-m33-m46-m57-m134]
0,1,3,[s1],[m90-m109-m118]
0,3,4,[s1-s3-s6],[m17-m18-m40-m41]
0,1,3,[s2],[m45-m100-m118]
0,1,3,[s1],[m15-m65-m91]
0,1,4,[s2],[m40-m41-m58-m78]
0,2,4,[s3-s8],[m8-m9-m38-m59]
0,1,3,[s1],[m52-m60-m95]
0,2,5,[s1-s8],[m9-m10-m11-m38-m59]
0,3,3,[s1-s9-s14],[m47-m49-m51]
0,1,3,[s1],[m46-m57-m135]
10,1,3,[s1],[m12-m57-m103]
0,1,3,[s1],[m9-m44-m90]
0,2,3,[s3-s6],[m25-m26-m97]
0,3,3,[s1-s3-s9],[m18-m19-m66]
0,2,3,[s1-s8],[m58-m117-m134]
0,1,3,[s1],[m9-m91-m122]
17,1,4,[s1],[m19-m46-m53-m117]
0,1,3,[s1],[m114-m116-m136]
0,1,4,[s2],[m8-m9-m38-m45]
0,2,4,[s9-s13],[m15-m121-m128-m137]
11,1,3,[s2],[m54-m131-m132]
0,3,3,[s1-s5-s7],[m43-m85-m108]
12,1,3,[s1],[m71-m72-m106]
0,2,3,[s1-s10],[m103-m120-m121]
0,2,3,[s1-s10],[m9-m38-m59]
0,1,4,[s1],[m10-m33-m38-m91]
0,1,4,[s1],[m47-m49-m93-m113]
13,1,3,[s2],[m9-m45-m118]
0,2,3,[s1-s5],[m51-m82-m86]
0,2,5,[s5-s7],[m6-m18-m19-m53-m138]
0,1,3,[s1],[m8-m38-m139]
32,2,3,[s1-s9],[m8-m140-m141]
0,3,3,[s1-s2-s6],[m38-m50-m90]
0,1,3,[s1],[m22-m102-m106]
0,1,3,[s3],[m30-m76-m77]
0,2,4,[s1-s10],[m1-m3-m42-m142]
0,1,3,[s2],[m9-m50-m143]
0,1,3,[s2],[m50-m137-m143]
0,1,3,[s2],[m50-m118-m122]
0,1,3,[s13],[m79-m81-m144]
6,1,3,[s1],[m9-m38-m59]
0,2,3,[s1-s9],[m9-m38-m139]
0,2,3,[s1-s9],[m9-m10-m44]
0,1,4,[s1],[m19-m41-m78-m96]
0,1,3,[s1],[m117-m122-m145]
6,1,3,[s1],[m9-m38-m59]
0,2,4,[s1-s10],[m9-m10-m118-m122]
14,1,3,[s1],[m136-m146-m147]
0,1,3,[s1],[m78-m134-m145]
0,2,3,[s1-s8],[m9-m38-m90]
0,2,4,[s9-s16],[m8-m9-m37-m44]
0,1,3,[s1],[m55-m146-m147]
14,1,3,[s1],[m136-m146-m147]
0,1,3,[s1],[m9-m118-m139]
0,1,3,[s1],[m8-m9-m44]
0,1,3,[s1],[m9-m37-m139]
0,1,4,[s1],[m6-m17-m19-m40]
0,1,4,[s2],[m59-m122-m143-m148]
0,1,3,[s10],[m149-m150-m151]
0,2,3,[s1-s9],[m114-m136-m147]
0,2,3,[s5-s9],[m152-m153-m154]
15,2,3,[s1-s2],[m9-m38-m45]
0,1,3,[s1],[m7-m15-m128]
0,3,3,[s2-s5-s9],[m9-m37-m45]
0,2,3,[s3-s6],[m99-m120-m125]
0,1,3,[s1],[m57-m115-m125]
0,2,4,[s1-s9],[m10-m129-m137-m155]
0,1,3,[s1],[m40-m41-m51]
0,1,3,[s1],[m12-m58-m102]
0,1,3,[s1],[m41-m78-m156]
0,1,5,[s9],[m57-m120-m124-m125-m157]
0,2,4,[s2-s9],[m24-m58-m104-m158]
0,1,3,[s2],[m38-m109-m155]
16,2,3,[s1-s10],[m7-m15-m128]
0,2,3,[s1-s9],[m8-m69-m137]
0,1,3,[s9],[m21-m51-m159]
0,1,3,[s1],[m109-m117-m155]
0,3,3,[s3-s5-s9],[m45-m51-m52]
0,2,3,[s10-s13],[m114-m136-m147]
0,1,3,[s1],[m57-m125-m130]
0,1,4,[s1],[m17-m40-m41-m134]
0,2,3,[s1-s10],[m129-m134-m160]
0,1,3,[s1],[m46-m53-m117]
0,1,3,[s6],[m27-m144-m161]
0,2,3,[s1-s9],[m65-m162-m163]
23,1,3,[s1],[m93-m154-m164]
0,2,4,[s3-s6],[m25-m104-m144-m165]
0,1,3,[s1],[m79-m81-m136]
0,2,3,[s5-s9],[m46-m51-m112]
0,1,3,[s1],[m19-m21-m100]
0,2,3,[s1-s8],[m9-m109-m155]
0,3,3,[s1-s7-s8],[m98-m124-m125]
0,2,3,[s5-s9],[m19-m21-m134]
0,2,3,[s1-s9],[m8-m76-m91]
0,1,4,[s1],[m37-m109-m117-m155]
0,2,4,[s1-s9],[m17-m39-m51-m66]
0,2,4,[s1-s9],[m55-m120-m121-m158]
0,1,3,[s1],[m55-m125-m130]
0,1,3,[s1],[m10-m117-m155]
0,2,3,[s1-s5],[m57-m157-m159]
0,1,4,[s3],[m27-m79-m81-m144]
0,2,3,[s1-s5],[m24-m58-m104]
0,1,3,[s1],[m8-m129-m139]
17,1,4,[s1],[m19-m46-m53-m117]
0,2,3,[s1-s9],[m17-m78-m145]
0,2,3,[s2-s9],[m50-m59-m143]
0,3,4,[s1-s2-s5],[m58-m85-m108-m123]
0,2,3,[s1-s9],[m55-m158-m159]
0,2,4,[s2-s6],[m9-m45-m118-m124]
0,1,3,[s2],[m85-m108-m123]
0,2,3,[s1-s2],[m21-m25-m100]
0,1,3,[s2],[m9-m37-m45]
0,1,3,[s1],[m11-m90-m103]
0,3,3,[s1-s3-s5],[m9-m37-m45]
0,1,3,[s1],[m33-m137-m166]
0,1,4,[s2],[m7-m15-m25-m128]
0,1,4,[s1],[m17-m19-m40-m41]
0,1,3,[s1],[m63-m93-m167]
0,1,5,[s3],[m17-m41-m78-m88-m156]
0,2,3,[s1-s9],[m84-m168-m169]
0,2,4,[s1-s9],[m10-m90-m129-m139]
0,1,4,[s2],[m9-m10-m38-m45]
0,2,3,[s1-s9],[m40-m46-m66]
0,1,4,[s1],[m82-m164-m170-m171]
0,3,3,[s1-s5-s13],[m7-m11-m169]
0,3,4,[s1-s8-s9],[m114-m116-m136-m147]
0,3,4,[s1-s8-s9],[m9-m10-m37-m155]
0,2,5,[s1-s8],[m37-m109-m155-m172-m173]
0,1,3,[s1],[m78-m145-m174]
0,1,4,[s1],[m17-m40-m41-m120]
0,3,3,[s1-s3-s6],[m25-m104-m131]
22,1,3,[s2],[m114-m136-m147]
26,1,3,[s9],[m21-m69-m138]
0,3,3,[s1-s6-s9],[m146-m147-m175]
0,1,5,[s1],[m8-m9-m10-m109-m122]
0,1,3,[s1],[m3-m42-m142]
0,1,3,[s1],[m38-m117-m176]
0,1,3,[s1],[m8-m137-m176]
29,1,3,[s1],[m44-m155-m159]
0,1,3,[s1],[m109-m155-m163]
18,1,3,[s1],[m177-m178-m179]
20,1,3,[s1],[m178-m179-m180]
18,1,3,[s1],[m177-m178-m179]
21,1,3,[s1],[m177-m179-m180]
18,1,3,[s1],[m177-m178-m179]
19,1,4,[s1],[m177-m178-m179-m180]
19,1,4,[s1],[m177-m178-m179-m180]
20,1,3,[s1],[m178-m179-m180]
19,1,4,[s1],[m177-m178-m179-m180]
19,1,4,[s1],[m177-m178-m179-m180]
19,1,4,[s1],[m177-m178-m179-m180]
21,1,3,[s1],[m177-m179-m180]
19,1,4,[s1],[m177-m178-m179-m180]
38,1,3,[s1],[m177-m178-m180]
19,1,4,[s1],[m177-m178-m179-m180]
0,1,3,[s1],[m31-m43-m181]
22,1,3,[s2],[m114-m136-m147]
0,1,3,[s9],[m62-m170-m182]
0,1,3,[s9],[m101-m102-m174]
0,1,3,[s9],[m24-m65-m163]
0,3,3,[s2-s3-s5],[m12-m88-m183]
0,1,3,[s2],[m54-m77-m132]
0,3,3,[s1-s8-s12],[m6-m9-m67]
0,1,3,[s9],[m22-m115-m136]
23,1,3,[s1],[m93-m154-m164]
27,2,3,[s2-s9],[m114-m136-m147]
0,1,3,[s2],[m38-m45-m118]
0,1,3,[s9],[m52-m86-m117]
0,2,3,[s1-s3],[m11-m66-m184]
0,1,5,[s1],[m9-m37-m122-m162-m173]
0,1,3,[s1],[m13-m62-m66]
0,2,3,[s5-s9],[m13-m62-m84]
0,2,3,[s1-s9],[m57-m100-m157]
0,1,3,[s9],[m17-m18-m115]
0,2,3,[s9-s10],[m19-m40-m46]
0,1,3,[s2],[m122-m129-m139]
0,2,3,[s5-s9],[m101-m102-m174]
25,1,3,[s2],[m54-m64-m132]
0,2,5,[s1-s5],[m11-m76-m84-m161-m185]
0,1,3,[s9],[m20-m103-m114]
0,2,3,[s5-s9],[m78-m145-m154]
0,1,3,[s1],[m32-m153-m154]
0,2,3,[s1-s9],[m9-m44-m155]
0,2,4,[s1-s4],[m9-m37-m162-m173]
36,2,3,[s1-s9],[m20-m114-m186]
0,3,5,[s3-s5-s9],[m40-m66-m78-m138-m156]
0,1,5,[s1],[m59-m83-m84-m93-m187]
0,2,3,[s1-s5],[m8-m100-m176]
0,1,3,[s9],[m9-m44-m155]
0,1,3,[s9],[m46-m77-m130]
0,2,3,[s1-s10],[m65-m185-m188]
0,1,3,[s9],[m36-m48-m63]
28,1,4,[s9],[m21-m69-m129-m138]
0,3,3,[s1-s6-s9],[m37-m45-m118]
0,3,4,[s1-s2-s9],[m10-m62-m169-m170]
24,1,4,[s2],[m58-m85-m123-m127]
0,2,5,[s1-s3],[m49-m66-m67-m115-m117]
0,3,3,[s3-s4-s5],[m25-m55-m189]
0,1,3,[s1],[m71-m90-m164]
24,1,4,[s2],[m58-m85-m123-m127]
0,1,3,[s1],[m8-m122-m160]
0,3,3,[s1-s5-s10],[m19-m40-m67]
0,1,5,[s9],[m17-m21-m69-m129-m138]
0,2,3,[s1-s9],[m19-m66-m92]
0,2,4,[s1-s3],[m17-m18-m19-m39]
0,1,3,[s2],[m8-m103-m176]
0,3,3,[s1-s5-s7],[m8-m124-m185]
0,1,3,[s1],[m70-m93-m152]
0,1,4,[s2],[m54-m56-m64-m132]
0,1,3,[s1],[m41-m93-m115]
0,1,3,[s9],[m102-m126-m130]
0,1,3,[s1],[m10-m59-m122]
0,1,3,[s1],[m39-m124-m190]
0,1,3,[s1],[m4-m146-m191]
0,2,3,[s1-s8],[m79-m81-m115]
0,1,3,[s1],[m88-m124-m125]
0,2,3,[s3-s6],[m104-m144-m165]
0,2,3,[s1-s9],[m13-m22-m84]
0,1,3,[s1],[m108-m192-m193]
0,1,3,[s9],[m17-m21-m69]
0,2,3,[s1-s10],[m37-m45-m118]
0,2,3,[s1-s9],[m39-m84-m92]
25,1,3,[s2],[m54-m64-m132]
0,2,3,[s5-s9],[m78-m112-m145]
0,2,3,[s2-s9],[m54-m64-m132]
0,1,3,[s1],[m32-m153-m164]
0,1,3,[s3],[m37-m52-m139]
0,1,3,[s9],[m102-m126-m167]
0,1,3,[s9],[m57-m100-m157]
0,2,3,[s1-s13],[m55-m125-m186]
0,1,3,[s1],[m11-m38-m167]
0,1,3,[s2],[m10-m38-m44]
0,1,4,[s2],[m10-m114-m136-m147]
0,1,3,[s9],[m93-m102-m126]
0,2,4,[s2-s9],[m88-m114-m136-m147]
0,2,3,[s1-s3],[m21-m69-m138]
0,3,4,[s1-s9-s13],[m64-m114-m136-m147]
0,2,3,[s2-s6],[m45-m118-m188]
30,1,3,[s1],[m9-m37-m173]
0,2,5,[s2-s9],[m10-m64-m114-m136-m147]
0,3,3,[s3-s5-s6],[m25-m161-m194]
0,1,3,[s1],[m68-m168-m182]
0,1,3,[s1],[m33-m158-m195]
0,1,3,[s1],[m24-m64-m109]
0,3,3,[s4-s13-s15],[m30-m196-m197]
0,1,3,[s9],[m44-m169-m170]
0,2,3,[s1-s9],[m21-m69-m138]
26,1,3,[s9],[m21-m69-m138]
0,2,5,[s1-s5],[m49-m67-m117-m124-m136]
0,1,3,[s1],[m37-m162-m173]
0,3,5,[s2-s3-s13],[m9-m37-m45-m118-m188]
0,1,3,[s1],[m57-m92-m198]
0,2,3,[s1-s5],[m57-m100-m157]
0,1,4,[s1],[m17-m93-m167-m173]
27,2,3,[s2-s9],[m114-m136-m147]
0,1,3,[s1],[m33-m120-m158]
28,1,4,[s9],[m21-m69-m129-m138]
0,3,3,[s1-s3-s5],[m58-m85-m127]
0,1,3,[s1],[m70-m79-m81]
0,1,3,[s1],[m17-m117-m167]
0,1,3,[s1],[m58-m174-m199]
0,1,3,[s1],[m68-m84-m108]
0,1,5,[s9],[m21-m69-m112-m129-m138]
0,1,3,[s2],[m103-m113-m123]
0,1,3,[s9],[m64-m109-m200]
0,1,3,[s1],[m7-m72-m201]
29,1,3,[s1],[m44-m155-m159]
0,1,3,[s9],[m101-m102-m159]
0,1,4,[s2],[m37-m44-m66-m155]
0,1,3,[s1],[m37-m44-m155]
0,2,3,[s2-s12],[m50-m100-m175]
0,1,3,[s1],[m120-m176-m194]
0,2,3,[s1-s9],[m17-m39-m53]
19,1,4,[s1],[m177-m178-m179-m180]
20,1,3,[s1],[m178-m179-m180]
18,1,3,[s1],[m177-m178-m179]
0,1,3,[s1],[m88-m104-m202]
0,2,3,[s2-s9],[m10-m14-m200]
0,3,3,[s4-s13-s15],[m73-m197-m203]
0,2,3,[s1-s10],[m57-m157-m198]
0,1,3,[s2],[m54-m55-m204]
0,1,3,[s1],[m11-m38-m63]
0,1,3,[s9],[m69-m129-m138]
0,1,3,[s1],[m4-m49-m205]
0,1,4,[s1],[m14-m50-m76-m192]
0,2,3,[s5-s9],[m60-m109-m130]
0,1,3,[s1],[m11-m38-m58]
0,3,3,[s3-s6-s13],[m137-m153-m206]
31,1,3,[s2],[m10-m14-m76]
0,2,4,[s1-s10],[m20-m103-m114-m186]
0,1,3,[s1],[m130-m168-m182]
0,3,3,[s1-s9-s16],[m17-m66-m207]
0,3,3,[s1-s4-s17],[m30-m154-m208]
0,1,3,[s4],[m8-m113-m137]
0,2,3,[s1-s10],[m37-m162-m173]
0,1,3,[s1],[m82-m154-m209]
0,1,3,[s1],[m20-m103-m186]
0,2,3,[s2-s5],[m134-m166-m210]
0,1,3,[s1],[m36-m52-m63]
0,1,3,[s1],[m86-m198-m210]
0,1,3,[s9],[m40-m69-m129]
0,1,3,[s1],[m17-m145-m167]
0,1,3,[s1],[m66-m124-m158]
0,1,3,[s9],[m130-m168-m182]
0,1,4,[s1],[m49-m90-m136-m205]
30,1,3,[s1],[m9-m37-m173]
0,1,4,[s1],[m21-m94-m117-m138]
0,1,3,[s9],[m47-m114-m211]
0,1,4,[s1],[m132-m148-m164-m212]
0,1,3,[s1],[m9-m162-m213]
0,2,3,[s2-s9],[m62-m66-m169]
0,2,3,[s4-s13],[m8-m113-m137]
0,1,4,[s1],[m33-m51-m214-m215]
0,1,3,[s2],[m136-m147-m199]
0,1,4,[s4],[m30-m74-m197-m216]
0,1,5,[s1],[m19-m62-m68-m169-m176]
0,3,3,[s2-s3-s9],[m58-m85-m127]
0,1,3,[s1],[m17-m145-m154]
0,1,3,[s1],[m8-m189-m217]
0,2,3,[s1-s10],[m37-m134-m139]
0,3,4,[s2-s3-s6],[m55-m99-m218-m219]
0,1,3,[s1],[m87-m171-m198]
0,1,5,[s1],[m53-m117-m129-m156-m220]
0,1,3,[s9],[m21-m78-m138]
0,1,3,[s1],[m88-m94-m124]
0,1,3,[s9],[m19-m168-m182]
0,1,4,[s13],[m20-m103-m114-m186]
0,3,3,[s1-s5-s9],[m128-m195-m204]
0,2,5,[s2-s9],[m10-m14-m24-m76-m221]
0,1,3,[s1],[m121-m164-m212]
0,1,3,[s1],[m51-m57-m157]
0,2,3,[s1-s2],[m8-m16-m123]
33,2,3,[s3-s6],[m55-m99-m125]
0,1,4,[s1],[m5-m19-m41-m134]
0,1,3,[s1],[m37-m93-m139]
0,2,3,[s1-s5],[m82-m96-m209]
26,1,3,[s9],[m21-m69-m138]
0,2,3,[s1-s9],[m44-m66-m169]
0,1,4,[s1],[m17-m18-m112-m222]
0,1,3,[s1],[m52-m159-m160]
0,3,4,[s5-s9-s10],[m58-m168-m176-m182]
0,1,3,[s1],[m68-m84-m176]
0,1,3,[s13],[m40-m156-m174]
31,1,3,[s2],[m10-m14-m76]
0,2,4,[s2-s9],[m10-m14-m76-m136]
0,1,3,[s1],[m93-m112-m145]
0,1,4,[s2],[m14-m50-m76-m143]
0,3,3,[s1-s2-s3],[m45-m118-m122]
0,1,4,[s3],[m30-m49-m124-m136]
0,1,3,[s1],[m4-m22-m163]
0,1,3,[s9],[m59-m65-m223]
0,3,3,[s2-s5-s6],[m136-m147-m199]
0,3,3,[s1-s5-s9],[m60-m184-m198]
0,1,3,[s2],[m8-m16-m123]
0,1,3,[s1],[m20-m114-m186]
0,1,3,[s3],[m38-m71-m100]
0,1,3,[s2],[m14-m76-m159]
0,2,3,[s1-s10],[m73-m197-m224]
0,2,3,[s5-s9],[m44-m66-m169]
0,1,5,[s1],[m30-m46-m49-m90-m136]
0,2,3,[s1-s9],[m18-m39-m53]
0,1,3,[s1],[m92-m109-m172]
0,2,3,[s1-s13],[m13-m108-m185]
0,1,3,[s1],[m11-m13-m38]
0,1,3,[s1],[m52-m63-m159]
0,3,3,[s5-s10-s12],[m12-m124-m152]
0,1,5,[s1],[m52-m63-m134-m159-m201]
0,1,3,[s1],[m28-m109-m184]
0,1,3,[s1],[m60-m79-m81]
0,1,3,[s1],[m92-m193-m220]
0,1,3,[s5],[m3-m142-m225]
0,1,3,[s1],[m47-m103-m186]
0,2,3,[s1-s7],[m172-m226-m227]
32,2,3,[s1-s9],[m8-m140-m141]
0,1,3,[s13],[m8-m113-m137]
0,1,4,[s1],[m58-m67-m108-m182]
0,1,3,[s1],[m79-m81-m228]
0,3,3,[s1-s10-s13],[m13-m19-m124]
0,1,6,[s2],[m55-m56-m64-m131-m132-m218]
0,2,3,[s1-s9],[m17-m18-m222]
34,1,4,[s2],[m14-m140-m212-m221]
0,1,3,[s1],[m53-m117-m156]
0,2,3,[s5-s9],[m19-m72-m229]
0,1,4,[s2],[m76-m141-m192-m230]
0,2,3,[s1-s10],[m44-m58-m231]
0,1,3,[s1],[m94-m162-m213]
0,1,4,[s2],[m76-m132-m136-m192]
0,1,3,[s9],[m62-m169-m176]
0,1,3,[s1],[m52-m112-m232]
0,1,4,[s9],[m11-m19-m38-m58]
0,3,3,[s3-s6-s9],[m60-m175-m233]
0,1,3,[s1],[m117-m134-m137]
0,2,3,[s5-s9],[m40-m138-m156]
0,1,3,[s1],[m7-m128-m234]
0,1,3,[s1],[m94-m187-m235]
0,1,3,[s9],[m60-m87-m194]
0,1,3,[s1],[m197-m203-m224]
0,1,4,[s2],[m128-m164-m204-m236]
0,2,3,[s5-s9],[m19-m44-m94]
0,3,5,[s1-s3-s10],[m6-m9-m66-m163-m226]
0,1,3,[s2],[m99-m218-m219]
0,2,3,[s1-s10],[m16-m55-m189]
0,1,3,[s1],[m82-m130-m214]
0,1,3,[s2],[m54-m132-m176]
0,1,4,[s9],[m17-m138-m154-m237]
0,1,3,[s2],[m55-m131-m204]
0,1,3,[s5],[m18-m220-m222]
0,1,3,[s1],[m17-m18-m222]
0,2,4,[s1-s5],[m32-m60-m79-m81]
25,1,3,[s2],[m54-m64-m132]
0,1,3,[s1],[m57-m154-m238]
0,1,3,[s1],[m67-m88-m94]
0,1,3,[s1],[m34-m41-m63]
0,1,3,[s1],[m84-m167-m207]
0,1,3,[s1],[m108-m117-m182]
0,1,5,[s1],[m9-m17-m37-m162-m213]
0,1,6,[s2],[m10-m14-m24-m188-m212-m221]
0,1,3,[s9],[m78-m154-m209]
0,1,3,[s9],[m8-m239-m240]
